__________________________________________________
idx: 1089-134686-0000
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	HE▁	HE▁	HE▁	null	0.98	0.0	0.99
1	HO	HO	HO	null	0.99	0.0	1.0
2	P	P	P	null	0.57	0.0	0.99
3	ED▁	ED▁	ED▁	null	0.6	0.0	0.99
4	THERE▁	THERE▁	THERE▁	null	1.0	0.0	0.99
5	WOULD▁	WOULD▁	WOULD▁	null	0.96	0.0	1.0
6	BE▁	BE▁	BE▁	null	1.0	0.0	0.98
7	STE	STO	STO	null	0.77	0.0	1.0
8	W▁	O	O	O	0.99	0.0	0.96
9	FOR▁	O	L▁	O	0.95	0.87	0.51
10	D	D	D	D	0.73	0.04	0.34
11	IN	EN	S▁	EN	0.35	1.0	0.23
12	N	C	C	C	0.93	0.95	0.68
13	ER▁	OUR	OUR	OUR	1.0	0.01	0.83
14	S▁	S▁	S▁	null	0.99	0.0	1.0
15	AND▁	AND▁	AND▁	null	0.66	0.0	0.9
16	CAR	CAR	CAR	null	0.55	0.0	0.99
17	RO	RO	RO	RO	0.99	0.05	1.0
18	TS▁	C	C	C	0.51	0.99	0.25
19	AND▁	HE	E▁	HE	0.52	1.0	0.17
20	B	B	B	null	0.51	0.0	0.75
21	R	R	R	R	0.98	0.0	0.9
22	U	UG	UG	UG	0.45	0.86	0.83
23	ED▁	ED▁	ED▁	null	0.99	0.0	1.0
24	PO	PO	PO	null	0.69	0.0	0.99
25	TA	TA	TA	null	1.0	0.0	0.84
26	TO	'	TI	'	0.34	1.0	0.57
27	ES▁	S▁	S▁	null	1.0	0.0	1.0
28	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
29	F	F	F	null	0.98	0.0	1.0
30	AT▁	AT▁	AT▁	null	0.88	0.0	1.0
31	MU	MU	MU	null	0.9	0.0	1.0
32	T	T	T	T	0.98	0.0	0.97
33	T	AN	TER	AN	0.63	0.99	0.28
34	ON▁	DE	ED▁	DE	0.31	1.0	0.39
35	PI	PI	PI	null	0.68	0.04	0.59
36	E	S	S	S	0.58	0.01	0.68
37	ES▁	S▁	S▁	W	0.94	0.87	0.1
38	TO▁	TO▁	TO▁	null	0.97	0.0	0.99
39	BE▁	BE▁	BE▁	null	0.68	0.0	0.99
40	LA	LA	LA	null	0.9	0.0	1.0
41	D	D	D	D	0.98	0.0	0.97
42	LED▁	Y	Y	'	0.95	0.68	0.48
43	LED▁	'	'	'	1.0	1.0	0.93
44	LED▁	D▁	D▁	null	0.98	0.0	1.0
45	OUT▁	OUT▁	OUT▁	null	0.58	0.0	1.0
46	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
47	TH	TH	TH	null	1.0	0.0	1.0
48	I	I	I	null	1.0	0.0	1.0
49	C	C	C	null	1.0	0.0	1.0
50	K▁	K▁	K▁	null	1.0	0.0	0.81
51	PE	PE	PE	null	0.55	0.0	1.0
52	P	P	P	P	0.99	0.0	0.97
53	PER	WE	HAR	WE	0.66	0.88	0.48
54	ED▁	ED▁	ED▁	I	0.72	0.12	0.73
55	F	F	F	null	1.0	0.0	0.98
56	L	LO	LO	null	1.0	0.0	0.75
57	OUR▁	W	W	WE	1.0	0.06	0.8
58	OUR▁	ER▁	ER▁	U	1.0	0.01	0.59
59	F	F	F	null	0.99	0.0	0.99
60	AT	AT▁	AT▁	AT	0.89	0.0	0.77
61	TEN	AND▁	AND▁	null	0.88	0.0	0.38
62	S	S	S	null	0.58	0.0	0.99
63	AU	AU	AU	null	1.0	0.0	1.0
64	C	C	C	null	0.99	0.01	0.77
65	E▁	E▁	E▁	AS	0.54	0.0	0.3
==================================================

__________________________________________________
idx: 1089-134686-0001
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	ST	ST	ST	null	1.0	0.0	0.99
1	U	U	U	U	1.0	0.0	0.59
2	F	F	F	F	0.98	0.0	0.86
3	F▁	F▁	F▁	null	0.84	0.0	0.9
4	IT▁	IT▁	IT▁	null	1.0	0.0	0.99
5	INTO▁	INTO▁	INTO▁	null	0.98	0.0	0.98
6	YOU▁	YOU▁	YOU▁	null	0.95	0.0	1.0
7	HIS▁	HIS▁	HIS▁	null	1.0	0.0	1.0
8	BE	BE	BE	null	1.0	0.0	1.0
9	L	L	L	null	0.85	0.0	0.83
10	LY▁	LY▁	LY▁	null	0.64	0.0	0.72
11	CO	CO	CO	null	1.0	0.0	0.99
12	UN	UN	UN	UN	0.99	0.0	0.8
13	SE	SE	SE	SE	0.69	0.11	0.44
14	LL	AL	ED▁	AL	0.71	0.84	0.5
15	ED▁	LI	ED▁	LI	0.99	0.99	0.29
16	ED▁	M	M	M	0.83	0.36	0.71
17	HIM▁	'	'	'	0.97	1.0	0.53
18	HIM▁	S▁	S▁	null	0.96	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0002
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	AFTER▁	AFTER▁	AFTER▁	null	1.0	0.0	0.98
1	EARLY▁	EARLY▁	EARLY▁	null	0.84	0.0	1.0
2	N	N	N	null	0.96	0.0	1.0
3	I	I	I	I	1.0	0.0	0.97
4	G	G	G	H	0.91	0.0	0.86
5	H	H	H	I	1.0	0.0	0.96
6	T	T	T	Y	0.63	0.08	0.4
7	F	F	F	null	0.59	0.0	0.36
8	ALL▁	ALL▁	ALL▁	null	0.98	0.0	0.72
9	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
10	Y	Y	Y	null	1.0	0.0	0.99
11	EL	EL	EL	null	1.0	0.0	1.0
12	LOW▁	LOW▁	LOW▁	null	0.97	0.0	1.0
13	LA	LA	LA	null	1.0	0.0	1.0
14	M	M	M	M	1.0	0.0	0.85
15	P	P	P	null	0.99	0.0	0.71
16	S▁	S▁	S▁	null	0.6	0.0	0.61
17	WOULD▁	WOULD▁	WOULD▁	null	0.99	0.0	1.0
18	LIGHT▁	LIGHT▁	LIGHT▁	null	0.92	0.0	1.0
19	UP▁	UP▁	UP▁	null	0.99	0.0	1.0
20	HERE▁	HERE▁	HERE▁	null	0.84	0.0	1.0
21	AND▁	AND▁	AND▁	null	0.99	0.0	0.98
22	THERE▁	THERE▁	THERE▁	null	0.99	0.0	0.99
23	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
24	S	S	S	null	1.0	0.0	1.0
25	QU	QU	QU	QU	1.0	0.0	0.93
26	AL	AL	AL	null	0.87	0.04	0.71
27	D▁	DU	D▁	DU	0.37	0.92	0.45
28	QU	L	T▁	L	0.67	0.99	0.35
29	AR	Y	Y	EVER▁	0.37	0.92	0.2
30	TER▁	E▁	E▁	AT	0.98	0.05	0.64
31	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
32	THE▁	THE▁	THE▁	null	0.97	0.0	1.0
33	B	B	B	null	1.0	0.0	0.97
34	RO	RA	RA	RA	0.93	0.01	0.52
35	TH	F	F	F	1.0	0.03	1.0
36	EL	AL	LES▁	AL	0.67	0.98	0.59
37	S▁	DU	S▁	DU	0.99	1.0	0.53
38	S▁	JA	JA	JA	0.93	1.0	0.86
39	S▁	TO	TO	TO	0.97	1.0	0.68
40	S▁	US	US	US	0.61	1.0	0.33
41	S▁	M▁	M▁	null	0.39	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0003
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	HE	I▁	I▁	null	0.81	0.0	0.93
1	BE	BE	BE	null	0.7	0.0	0.99
2	R	R	R	R	1.0	0.0	0.75
3	TI	TY▁	TY▁	null	1.0	0.01	0.48
4	ANY▁	ANY▁	ANY▁	null	0.94	0.0	0.99
5	GOOD▁	GOOD▁	GOOD▁	null	1.0	0.0	1.0
6	IN▁	IN▁	IN▁	null	1.0	0.0	0.99
7	YOUR▁	YOUR▁	YOUR▁	null	0.82	0.0	1.0
8	MIND▁	MIND▁	MIND▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1089-134686-0004
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	N	N	N	null	0.91	0.0	0.99
1	U	U	U	null	0.98	0.0	0.97
2	M	M	M	null	1.0	0.0	1.0
3	B	B	B	null	0.99	0.0	0.66
4	ER▁	ER▁	ER▁	OR	0.85	0.18	0.23
5	T	D	D	null	0.8	0.0	0.97
6	EN▁	EN▁	EN▁	null	1.0	0.0	0.89
7	F	F	F	null	1.0	0.0	1.0
8	RE	RE	RE	null	1.0	0.0	0.63
9	S	S	S	null	1.0	0.0	0.95
10	H▁	H▁	H▁	null	0.96	0.0	0.65
11	N	N	N	null	0.99	0.0	0.99
12	EL	EL	EL	EL	1.0	0.01	0.99
13	LY▁	LI	LI	null	0.66	0.56	0.39
14	LY▁	RE▁	RE▁	RE▁	0.93	0.99	0.48
15	IS▁	IS▁	IS▁	null	1.0	0.0	0.99
16	WA	WA	WA	null	1.0	0.0	1.0
17	I	I	I	null	1.0	0.0	1.0
18	TING▁	TING▁	TING▁	null	1.0	0.0	0.93
19	ON▁	ON▁	ON▁	null	0.98	0.0	1.0
20	YOU▁	YOU▁	YOU▁	null	1.0	0.0	1.0
21	GOOD▁	GOOD▁	GOOD▁	null	0.92	0.0	1.0
22	NIGHT▁	NIGHT▁	NIGHT▁	null	0.92	0.0	1.0
23	HU	HU	HU	null	0.88	0.0	1.0
24	S	S	S	null	1.0	0.0	1.0
25	B	B	B	null	1.0	0.0	0.79
26	AND▁	AND▁	AND▁	null	1.0	0.01	0.85
==================================================

__________________________________________________
